run max_rpm damping_rate_full_throttle damping_rate_zero_throttle_clutch_engaged damping_rate_zero_throttle_clutch_disengaged gear_switch_time clutch_strength mass drag_coefficient tire_friction damping_rate radius max_brake_torque min_maximum_change min_distance_velocity min_change_para
3 4997.552 0.144 1.972 0.337 0.481 10.003 1353.582 0.292 2.032 0.255 34.579 1376.274 0.091 3.779 2
3 5001.306 0.144 1.978 0.335 0.498 10.001 1422.816 0.280 2.030 0.255 34.271 1361.166 0.093 3.531 3
3 5310.941 0.143 1.824 0.344 0.477 9.995 1478.829 0.279 1.794 0.255 34.791 1361.631 0.104 -4.751 6
3 5016.780 0.144 2.052 0.350 0.498 10.003 1351.033 0.279 2.028 0.255 35.196 1336.656 0.11 3.387 2
3 5317.468 0.143 1.822 0.335 0.478 10.004 1428.401 0.284 1.938 0.264 34.851 1352.743 0.099 2.005 6
3 5429.096 0.151 1.877 0.350 0.481 10.016 1474.804 0.279 2.030 0.255 34.852 1332.748 0.112 -18.143 5
3 5016.780 0.143 2.052 0.350 0.498 10.001 1347.663 0.284 2.028 0.255 35.591 1336.656 0.123 2.908 2
3 5006.230 0.144 1.762 0.345 0.482 10.003 1483.682 0.284 2.028 0.256 35.594 1355.275 0.123 -3.621 4
3 5317.468 0.144 1.822 0.335 0.478 9.993 1423.156 0.278 1.814 0.254 34.791 1350.418 0.1 -3.993 6
3 5429.096 0.148 1.958 0.344 0.482 10.017 1351.858 0.279 1.939 0.246 35.423 1338.447 0.117 2.72 3
3 5000.584 0.144 1.978 0.360 0.498 9.995 1422.648 0.280 1.925 0.248 34.255 1446.585 0.081 3.872 3
3 5349.241 0.144 1.978 0.343 0.498 10.018 1421.978 0.280 1.912 0.255 34.479 1375.086 0.088 2.997 5
3 5384.627 0.145 1.873 0.335 0.478 10.019 1420.914 0.293 1.941 0.254 34.806 1443.414 0.098 2.354 5
3 5005.094 0.144 1.913 0.344 0.481 10.055 1351.033 0.280 2.028 0.255 35.439 1328.801 0.118 2.146 3
3 5527.221 0.144 1.825 0.344 0.494 10.027 1353.043 0.284 2.036 0.256 34.449 1342.328 0.105 2.27 4
3 5326.856 0.148 1.822 0.341 0.478 9.525 1420.914 0.292 1.946 0.255 34.332 1454.924 0.089 2.562 6
4 6204.299 0.151 1.940 0.336 0.493 9.869 1478.618 0.280 1.985 0.250 31.838 1502.345 0.241 5.116 2
4 6393.071 0.151 1.012 0.336 0.493 10.260 1392.165 0.288 1.991 0.250 34.736 1485.421 0.494 -21.541 6
4 6257.678 0.133 1.403 0.264 0.456 10.168 1442.784 0.288 1.990 0.258 31.925 1495.741 0.298 -19.429 9
4 5178.103 0.151 1.927 0.337 0.517 9.870 1392.647 0.288 1.990 0.245 32.103 1509.977 0.04 5.969 3
4 5193.029 0.151 1.928 0.336 0.517 9.870 1394.244 0.288 1.990 0.245 31.849 1489.638 0.04 6.243 2
4 6099.418 0.150 1.051 0.350 0.520 10.114 1474.375 0.310 2.001 0.245 35.527 1280.961 0.475 -21.272 5
4 6381.092 0.148 1.144 0.346 0.518 9.940 1476.934 0.279 2.042 0.245 31.836 1507.658 0.428 -20.058 3
4 6257.562 0.154 1.704 0.349 0.529 9.913 1416.910 0.216 1.968 0.245 35.575 1255.290 0.28 -19.218 7
4 5644.006 0.151 1.781 0.349 0.511 9.935 1478.389 0.286 1.991 0.251 35.593 1504.992 0.129 -18.733 4
4 6247.730 0.151 1.234 0.350 0.518 10.109 1473.783 0.315 1.983 0.250 31.792 1238.310 0.383 -19.691 4
4 5177.265 0.151 1.866 0.330 0.512 9.943 1393.190 0.308 1.990 0.250 34.073 1388.469 0.075 3.524 6
4 5215.889 0.151 1.863 0.330 0.493 10.188 1393.122 0.308 1.995 0.250 34.144 1388.469 0.077 3.294 7
4 5218.297 0.151 1.896 0.337 0.526 9.870 1393.554 0.288 2.001 0.244 31.873 1492.530 0.052 5.63 5
4 5218.297 0.153 1.896 0.337 0.517 9.870 1393.554 0.288 2.001 0.244 31.873 1492.530 0.052 5.633 4
4 5391.163 0.151 1.783 0.349 0.523 10.106 1479.549 0.305 1.982 0.249 34.181 1378.263 0.109 2.356 5
4 6084.443 0.151 1.697 0.339 0.495 9.950 1575.415 0.287 2.035 0.245 31.844 1502.584 0.217 -2.938 3
4 6255.954 0.151 1.702 0.338 0.520 9.915 1417.719 0.288 1.968 0.244 35.556 1489.941 0.251 -19.156 4
